Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
0.02,1.52,2.72,0.47
0.02,1.47,2.25,0.34
0.02,1.53,6.73,0.51
0.02,1.42,4.06,0.69
1.27,1.54,1.3,0.69
0.02,1.64,3.51,0.69
0.02,1.54,0.56,0.63
0.67,1.51,1.47,0.69
10.0,1.48,2.99,0.47
0.02,1.52,13.18,0.53
7.38,1.45,2.07,0.69
0.5,1.52,6.46,0.69
2.33,1.5,5.84,0.69
0.86,1.47,2.35,0.69
0.72,1.48,1.95,0.64
1.87,1.55,2.58,0.34
0.02,1.44,0.56,0.45
0.02,1.51,3.83,0.69
0.96,1.55,0.56,0.69
0.39,1.43,1.27,0.46
0.02,1.54,7.25,0.55
0.02,1.46,2.87,0.63
0.88,1.53,8.69,0.54
3.8,1.64,6.2,0.48
2.63,1.48,10.03,0.64
0.06,1.48,13.18,0.69
1.7,1.42,0.56,0.69
0.02,1.43,5.31,0.55
0.59,1.54,4.35,0.5
0.11,1.55,1.23,0.58
0.48,1.42,1.13,0.59
0.02,1.64,1.34,0.46
0.35,1.46,1.09,0.69
0.32,1.44,0.94,0.69
0.02,1.46,0.97,0.6
6.24,1.48,3.6,0.69
4.38,1.46,2.65,0.55
3.7,1.5,0.56,0.44
0.02,1.49,0.87,0.44
3.11,1.42,13.1,0.69
0.02,1.45,0.56,0.64
1.81,1.51,0.56,0.69
0.47,1.55,1.42,0.69
5.9,1.51,2.23,0.69
0.02,1.5,0.56,0.55
0.02,1.45,2.8,0.64
0.07,1.64,13.18,0.69
0.02,1.5,0.56,0.69
0.73,1.44,13.18,0.68
0.77,1.52,12.19,0.69
4.7,1.5,7.11,0.69
0.12,1.45,1.04,0.69
0.02,1.53,1.8,0.63
0.69,1.64,2.63,0.69
7.52,1.48,1.03,0.61
0.48,1.42,2.48,0.69
0.02,1.45,0.56,0.69
0.65,1.42,0.56,0.6
1.05,1.49,3.57,0.6
0.02,1.44,0.56,0.62
0.77,1.54,0.56,0.69
1.87,1.64,0.56,0.55
0.02,1.53,1.03,0.45
0.02,1.42,2.16,0.67
0.02,1.51,0.8,0.56
0.48,1.55,0.93,0.39
0.02,1.53,1.23,0.66
2.55,1.49,1.53,0.55
0.02,1.5,1.69,0.59
0.02,1.54,0.94,0.55
0.02,1.47,2.91,0.65
0.02,1.42,2.9,0.37
0.17,1.44,8.05,0.34
0.74,1.52,2.28,0.57
0.02,1.46,2.63,0.69
0.02,1.53,1.45,0.66
4.14,1.52,0.56,0.66
5.13,1.54,2.78,0.5
0.67,1.54,0.56,0.69
1.79,1.44,0.56,0.49
0.02,1.5,1.25,0.42
0.1,1.49,1.81,0.69
1.93,1.44,1.11,0.65
0.02,1.6,2.5,0.69
0.02,1.52,13.18,0.34
3.16,1.46,8.09,0.54
4.22,1.46,2.65,0.69
0.02,1.43,0.56,0.67
0.02,1.48,0.7,0.67
0.02,1.5,10.9,0.48
0.04,1.55,2.16,0.37
0.02,1.47,2.79,0.56
1.0,1.44,2.38,0.34
0.28,1.51,0.56,0.54
0.02,1.54,4.63,0.62
0.02,1.54,3.52,0.69
0.02,1.51,13.18,0.58
0.58,1.49,3.84,0.69
0.02,1.45,0.56,0.45
0.44,1.46,2.19,0.56
0.02,1.54,6.29,0.56
