Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
1.0,1.49,2.01,0.57
5.0,1.43,6.45,0.56
0.15,1.64,0.88,0.36
0.07,1.44,0.82,0.68
2.0,1.49,3.51,0.53
0.05,1.45,0.81,0.63
0.09,1.44,0.88,0.55
1.0,1.49,2.01,0.57
10.0,1.48,13.18,0.51
0.09,1.43,0.88,0.54
0.1,1.62,0.76,0.34
0.05,1.5,0.61,0.46
0.05,1.5,0.61,0.46
0.1,1.63,0.77,0.34
5.0,1.44,6.45,0.55
0.5,1.47,1.3,0.51
1.5,1.55,2.71,0.49
0.1,1.63,0.77,0.34
0.02,1.44,0.72,0.67
0.1,1.62,0.76,0.35
5.0,1.44,6.45,0.55
0.02,1.45,0.72,0.66
0.1,1.63,0.77,0.34
2.0,1.49,3.5,0.54
0.15,1.62,0.86,0.38
1.0,1.48,2.01,0.59
0.02,1.45,0.72,0.66
0.09,1.44,0.88,0.55
0.25,1.63,0.94,0.41
0.05,1.48,0.62,0.45
10.0,1.48,13.18,0.51
0.1,1.62,0.76,0.35
2.0,1.49,3.5,0.54
0.1,1.45,0.9,0.59
3.0,1.43,4.28,0.55
0.1,1.46,0.9,0.59
1.5,1.5,2.68,0.47
0.15,1.62,0.88,0.38
0.07,1.47,0.68,0.45
0.07,1.44,0.82,0.68
2.5,1.42,3.63,0.57
3.0,1.43,4.21,0.57
2.0,1.49,3.5,0.54
7.0,1.51,9.8,0.5
5.0,1.43,6.45,0.56
7.0,1.53,9.76,0.52
0.02,1.44,0.72,0.67
1.0,1.48,2.02,0.6
3.0,1.43,4.21,0.57
0.05,1.45,0.79,0.65
0.09,1.44,0.88,0.55
0.05,1.44,0.79,0.65
1.0,1.49,2.01,0.57
0.07,1.47,0.69,0.47
0.02,1.49,0.57,0.48
0.1,1.45,0.9,0.59
0.07,1.44,0.83,0.68
3.0,1.44,4.21,0.56
10.0,1.48,13.18,0.51
0.05,1.44,0.79,0.65
0.1,1.45,0.9,0.61
5.0,1.44,6.45,0.55
0.02,1.45,0.72,0.66
0.09,1.44,0.87,0.55
0.15,1.62,0.88,0.38
2.5,1.42,3.63,0.57
0.05,1.45,0.79,0.65
2.0,1.49,3.5,0.54
0.05,1.45,0.81,0.63
2.5,1.42,3.63,0.57
0.5,1.48,1.28,0.5
0.07,1.44,0.83,0.68
0.07,1.45,0.68,0.47
0.5,1.47,1.3,0.51
3.0,1.44,4.21,0.56
1.5,1.55,2.71,0.49
0.02,1.49,0.57,0.48
0.02,1.45,0.72,0.66
0.02,1.49,0.56,0.47
5.0,1.44,6.55,0.55
1.5,1.5,2.68,0.47
0.02,1.49,0.57,0.48
5.0,1.44,6.55,0.55
0.15,1.64,0.88,0.36
0.07,1.47,0.69,0.47
0.1,1.45,0.9,0.61
2.0,1.49,3.5,0.54
0.5,1.47,1.29,0.52
0.05,1.48,0.62,0.47
0.5,1.47,1.3,0.51
0.07,1.44,0.83,0.68
0.25,1.62,0.98,0.41
2.5,1.44,3.61,0.6
0.07,1.44,0.82,0.68
0.05,1.45,0.81,0.63
0.07,1.44,0.83,0.68
0.1,1.62,0.76,0.34
7.0,1.53,9.76,0.52
1.5,1.55,2.71,0.49
0.09,1.44,0.88,0.55
0.13293247450786505,1.4810146186866462,0.7735627715387519,0.4384470468262747
2.0774060216796535,1.4770498441450686,3.612539052090564,0.5449791968596055
0.32226596531556806,1.633766298563205,1.0644911258765222,0.33758034896226874
9.639784261946195,1.4889781509286328,12.72893673563578,0.4977157066996874
0.32690458395008004,1.6409438084032126,1.0693137916876365,0.3189213157879947
0.5863751639652387,1.4752299246195975,1.3930048958321146,0.5142442323138408
0.8754580342431231,1.4304806171377968,1.8285490509718407,0.6882239969219863
0.10594365023525537,1.4290787778430436,0.9157224017844977,0.6915062516079791
-0.0324676581322875,1.4926590365846848,0.5341517341500663,0.4775798579852753
0.5324242013178749,1.474043405405437,1.3564397061066333,0.5086536750848601
1.6197687145517246,1.5074704203312206,2.8391529913687727,0.4632164340817329
2.229922611422579,1.4876465590668464,3.772423509619164,0.5386619579349298
-0.0676822741538873,1.448418802661061,0.6810871810410996,0.5836849314311436
4.677704177354294,1.4242897672141004,6.044950453695879,0.5611221442054544
0.7381617669189968,1.4873190571438217,1.6821189860406258,0.5878209293408005
0.7005071541601023,1.6194057238107977,1.5202397499588585,0.3999211698624759
5.195345468447803,1.4219867680547282,6.676431909769043,0.5696676233292942
7.02444529098152,1.4969344190398448,9.876339358431224,0.5320897709036883
1.295455813931836,1.4690369188143744,2.3918612670078576,0.6232787923443327
0.3729581710614931,1.4540735281282118,1.2600805237887682,0.6016579981886858
0.18506719910899977,1.629511463983841,0.9001614897704301,0.3410666759501866
-0.04785416441980081,1.4768030835080062,0.5686191389023267,0.4506524730826679
0.3019782209368151,1.4333112470899065,1.1338311937992755,0.5326581822725629
1.2803995910664643,1.5315084117107944,2.405008883334273,0.4535681636002567
0.5471951342030333,1.6209407471210426,1.309738930546147,0.33382337089146175
2.8257582597336364,1.4561265137961903,4.0208845937589395,0.5786301671839681
0.2889615592194682,1.480095232059609,0.9083688326476536,0.44361581055218957
0.21466343281064076,1.4315418355255816,1.0421423281415096,0.5402983638908675
0.2559776986729003,1.6369455732930596,0.9334820418242928,0.333528056078175
0.1417580910953514,1.4414844685416714,0.9684232241481637,0.6091421773889678
1.1823176964197117,1.521090243638,2.3177982862553583,0.46855029151430155
0.21634543073926807,1.452233721599707,0.9679714440464935,0.6507748756151249
7.1288832694635484,1.4992067829694125,9.956062496084378,0.5144957463722584
0.33885553091925,1.4525421177609357,1.2269426305607054,0.6329867894390255
0.3994378767817175,1.6235241669408356,1.103524875650948,0.41740075453479253
-0.2759216234484516,1.6200260743536974,0.35167402956410887,0.38425226255426803
0.9703515283311782,1.4851977708138324,1.9766598774218689,0.5970329470247308
-0.055546133715893786,1.4349970364751468,0.6497799732783006,0.5496049917778327
1.541363497632951,1.5024792986852462,2.7160517399591892,0.4658455834901837
-0.024127835648787677,1.6306252135279113,0.5947104123505413,0.3808727028170683
0.30838014211665477,1.4564867463831954,1.1463063926728667,0.607052034413487
-0.009296473186847287,1.6290253244187483,0.6871593637399589,0.36714271232080914
9.867215021803773,1.4796517754313236,12.982866277847512,0.5176722935450168
-0.11816454173429286,1.6177456705522655,0.47696957655129246,0.3552978961569733
1.3872811626479578,1.5079202046220028,2.543787496591903,0.4554778346071534
5.289098356245639,1.4378122528388355,6.804542654070163,0.5443626938673266
0.8256505323867199,1.4843911027425865,1.691344173331837,0.4965111453241927
0.12439707405535606,1.616765683181574,0.8570996205424047,0.38511860767432565
0.22061397648796577,1.4554605475308269,1.0309251721342017,0.5989305294981043
-0.34993087499025805,1.4491172305398603,0.24871830966670122,0.6752506781845928
0.8118847696724294,1.5039472258840567,1.7580160767055144,0.5526353711169782
0.2060043060478821,1.6248934402632447,0.8775964704834632,0.34167138488614995
